Group,Task_ID,Difficulty,Satisfaction,Stress,Helpfulness,Adherence
Group 1,P1,2.64,3.82,2.64,3.5,3.5
Group 2,P1,3.64,3.18,3.64,3.36,3.27
Group 3,P1,3.27,3.09,2.27,3.36,3.18
Group 4,P1,3.3,3.1,2.2,3.6,3.7
Group 1,P2,2.8,4.0,2.3,3.5,5.0
Group 2,P2,2.91,3.73,2.45,3.64,3.18
Group 3,P2,3.56,3.56,2.0,3.67,3.44
Group 4,P2,2.9,3.5,2.5,3.0,2.6
Group 1,P3,2.8,3.4,2.6,3.0,4.33
Group 2,P3,3.38,3.44,2.67,3.11,2.56
Group 3,P3,4.11,2.22,2.33,3.44,3.44
Group 4,P3,3.1,3.7,2.5,3.7,3.2
Group 1,P4,2.56,3.89,2.11,4.0,4.0
Group 2,P4,3.11,3.33,2.89,3.67,2.89
Group 3,P4,2.88,3.88,1.5,3.38,3.25
Group 4,P4,3.4,3.1,2.3,3.1,3.2
Group 1,P5,3.12,2.88,2.57,3.33,3.67
Group 2,P5,3.78,2.89,3.33,3.62,3.56
Group 3,P5,2.67,3.44,1.78,3.5,4.11
Group 4,P5,2.4,4.3,1.8,2.9,2.9
